song title,artist/band name,year,lyrics url
It's Only A Paper Moon,Frank Sinatra,1950,https://www.azlyrics.com/lyrics/franksinatra/itsonlyapapermoon.html
Be Honest With Me(1991 CD Reissue),"Martin, Dean",1955,https://www.azlyrics.com/lyrics/deanmartin/behonestwithme.html
I'm Yours,Eddy Arnold,1957,https://www.azlyrics.com/lyrics/eddyarnold/imyours.html
Blues In My Heart,"Reeves, Jim",1957,https://www.azlyrics.com/lyrics/jimreeves/bluesinmyheart.html
I Didn't Know What Time It Was,Billie Holiday,1957,https://www.azlyrics.com/lyrics/billieholiday/ididntknowwhattimeitwas.html
Street Of Dreams,"Mathis, Johnny",1957,https://www.azlyrics.com/lyrics/johnnymathis/streetofdreams.html
Miss Ann,Little Richard,1957,https://www.azlyrics.com/lyrics/littlerichard/missann.html
I Want A Little Girl,"Charles, Ray",1958,https://www.azlyrics.com/lyrics/raycharles/iwantalittlegirl.html
Love Me,Buddy Holly,1958,https://www.azlyrics.com/lyrics/buddyholly/loveme.html
The Magician(2005 CD Reissue),Dean Martin,1958,https://www.azlyrics.com/lyrics/deanmartin/themagician.html
We'll Be Together Again,Billie Holiday,1958,https://www.azlyrics.com/lyrics/billieholiday/wellbetogetheragain.html
You'll Never Know,Doris Day,1958,https://www.azlyrics.com/lyrics/dorisday/youllneverknow.html
I Want To Know,"Charles, Ray",1958,https://www.azlyrics.com/lyrics/raycharles/iwanttoknow.html
Too Close For Comfort,"Davis Jr., Sammy",1959,https://www.azlyrics.com/lyrics/sammydavisjr/toocloseforcomfort.html
You'll Never Know What You're Missin',"Nelson, Ricky",1959,https://www.azlyrics.com/lyrics/rickynelson/youllneverknowwhatyouremissin.html
Wild Is The Wind,"Simone, Nina",1959,https://www.azlyrics.com/lyrics/ninasimone/wildisthewind.html
Childhood Sweetheart,"Berry, Chuck",1960,https://www.azlyrics.com/lyrics/chuckberry/childhoodsweetheart.html
True Love,"Martin, Dean",1960,https://www.azlyrics.com/lyrics/deanmartin/truelove.html
My Reward,B.B. King,1961,https://www.azlyrics.com/lyrics/bbking/myreward.html
I Live For You,"Richard, Cliff",1961,https://www.azlyrics.com/lyrics/cliffrichard/iliveforyou.html
Run Around,"Berry, Chuck",1961,https://www.azlyrics.com/lyrics/chuckberry/runaround.html
Richest Man (In The World),"Arnold, Eddy",1961,https://www.azlyrics.com/lyrics/eddyarnold/richestmanintheworld.html
My Arms Are A House,Eddy Arnold,1961,https://www.azlyrics.com/lyrics/eddyarnold/myarmsareahouse.html
Wedding Bells,"Jones, George",1962,https://www.azlyrics.com/lyrics/georgejones/weddingbells.html
I Hear Music,"Fitzgerald, Ella",1962,https://www.azlyrics.com/lyrics/ellafitzgerald/ihearmusic.html
What'll I Do,"Tillotson, Johnny",1962,https://www.azlyrics.com/lyrics/johnnytillotson/whatllido.html
Charlie's Shoes,"Arnold, Eddy",1962,https://www.azlyrics.com/lyrics/eddyarnold/charliesshoes.html
Sciummo,Mina,1962,https://www.azlyrics.com/lyrics/mina/sciummo.html
I Wake Up Cryin',"Richard, Cliff",1962,https://www.azlyrics.com/lyrics/cliffrichard/iwakeupcryin.html
I've Never Been In Love Before,"Darin, Bobby",1963,https://www.azlyrics.com/lyrics/bobbydarin/iveneverbeeninlovebefore.html
How Do I Tell My Heart Not To Break,"Campbell, Glen",1963,https://www.azlyrics.com/lyrics/glencampbell/howdoitellmyheartnottobreak.html
Young And Foolish,"Gore, Lesley",1963,https://www.azlyrics.com/lyrics/lesleygore/youngandfoolish.html
(Here I Am) Brokenhearted,Sammy Davis Jr.,1964,https://www.azlyrics.com/lyrics/sammydavisjr/hereiambrokenhearted.html
Gambling Man,"Guthrie, Woody",1964,https://www.azlyrics.com/lyrics/woodyguthrie/gamblingman.html
Somewhere,"Mathis, Johnny",1964,https://www.azlyrics.com/lyrics/johnnymathis/somewhere.html
Hey Now,Lesley Gore,1964,https://www.azlyrics.com/lyrics/lesleygore/heynow.html
Golden Earrings,Bobby Darin,1964,https://www.azlyrics.com/lyrics/bobbydarin/goldenearrings.html
Adesso No,Neil Sedaka,1964,https://www.azlyrics.com/lyrics/neilsedaka/adessono.html
A Walk Through The Sun,"Turtles, The",1965,https://www.azlyrics.com/lyrics/turtles/awalkthroughthesun.html
Ain't That Peculiar,"Benson, George",1965,https://www.azlyrics.com/lyrics/georgebenson/aintthatpeculiar.html
How Long,Boz Scaggs,1965,https://www.azlyrics.com/lyrics/bozscaggs/howlong.html
Desolation Row,"Dylan, Bob",1965,https://www.azlyrics.com/lyrics/bobdylan/desolationrow.html
Ricordati Ancora,Neil Sedaka,1965,https://www.azlyrics.com/lyrics/neilsedaka/ricordatiancora.html
Since I Don't Have You,"Nelson, Ricky",1965,https://www.azlyrics.com/lyrics/rickynelson/sinceidonthaveyou.html
Funny How Time Slips Away,"Lewis, Jerry Lee",1965,https://www.azlyrics.com/lyrics/jerryleelewis/funnyhowtimeslipsaway.html
Then And Only Then,"Smith, Connie",1965,https://www.azlyrics.com/lyrics/conniesmith/thenandonlythen.html
Ladies Choice,"Nelson, Ricky",1965,https://www.azlyrics.com/lyrics/rickynelson/ladieschoice.html
Baby It's Love,"Holly, Buddy",1965,https://www.azlyrics.com/lyrics/buddyholly/babyitslove.html
See See Rider,"Everly Brothers, The",1965,https://www.azlyrics.com/lyrics/everlybrothers/seeseerider.html
I'm In Love For The Very First Time,Johnny Mathis,1966,https://www.azlyrics.com/lyrics/johnnymathis/iminlovefortheveryfirsttime.html
Fireball Mail,"Jackson, Wanda",1966,https://www.azlyrics.com/lyrics/wandajackson/fireballmail.html
Gimme A Pigfoot (And A Bottle Of Beer),Nina Simone,1966,https://www.azlyrics.com/lyrics/ninasimone/gimmeapigfootandabottleofbeer.html
In The Garden,Connie Smith,1966,https://www.azlyrics.com/lyrics/conniesmith/inthegarden.html
When A Man Loves A Woman,James Brown,1966,https://www.azlyrics.com/lyrics/jamesbrown/whenamanlovesawoman.html
The Shadow Of Your Smile,Perry Como,1966,https://www.azlyrics.com/lyrics/perrycomo/theshadowofyoursmile.html
Chauffeur,"Simone, Nina",1966,https://www.azlyrics.com/lyrics/ninasimone/chauffeur.html
Falling For You,Waylon Jennings,1966,https://www.azlyrics.com/lyrics/waylonjennings/fallingforyou.html
Love Me Or Leave Me,"Simone, Nina",1966,https://www.azlyrics.com/lyrics/ninasimone/lovemeorleaveme.html
Meditation,Cliff Richard,1966,https://www.azlyrics.com/lyrics/cliffrichard/meditation.html
He Set Me Free,Connie Smith,1966,https://www.azlyrics.com/lyrics/conniesmith/hesetmefree.html
Breezes Of Patchulie(Bonus Track),Donovan,1966,https://www.azlyrics.com/lyrics/donovan/breezesofpatchulie.html
Meditation,Andy Williams,1966,https://www.azlyrics.com/lyrics/andywilliams/meditation.html
One Of You (In Every Size),Marty Robbins,1967,https://www.azlyrics.com/lyrics/martyrobbins/oneofyouineverysize.html
Pleasant Street,Tim Buckley,1967,https://www.azlyrics.com/lyrics/timbuckley/pleasantstreet.html
There Goes My Everything,"Smith, Connie",1967,https://www.azlyrics.com/lyrics/conniesmith/theregoesmyeverything.html
Mystery Train,"Nelson, Ricky",1967,https://www.azlyrics.com/lyrics/rickynelson/mysterytrain.html
Losing The Dogs,Ten Years After,1967,https://www.azlyrics.com/lyrics/tenyearsafter/losingthedogs.html
"Girl, Beautiful Girl (Barbara's Theme)","Lovin' Spoonful, The",1967,https://www.azlyrics.com/lyrics/lovinspoonful/girlbeautifulgirlbarbarastheme.html
I Haven't Got The Nerve,"Left Banke, The",1967,https://www.azlyrics.com/lyrics/leftbanke/ihaventgotthenerve.html
If I Kiss You (Will You Go Away),"Anderson, Lynn",1967,https://www.azlyrics.com/lyrics/lynnanderson/ifikissyouwillyougoaway.html
There Goes A Man,"Nelson, Willie",1967,https://www.azlyrics.com/lyrics/willienelson/theregoesaman.html
"One Hand, One Heart / With These Hands",Dionne Warwick,1967,https://www.azlyrics.com/lyrics/dionnewarwick/onehandoneheartwiththesehands.html
Survival Of The Fittest,Mel Tillis,1967,https://www.azlyrics.com/lyrics/meltillis/survivalofthefittest.html
The Boy Next Door,Barbra Streisand,1967,https://www.azlyrics.com/lyrics/barbrastreisand/theboynextdoor.html
I Overlooked An Orchid (While Searching For A Rose),Connie Smith,1967,https://www.azlyrics.com/lyrics/conniesmith/ioverlookedanorchidwhilesearchingforarose.html
Would You Take Me Back Again,Marty Robbins,1967,https://www.azlyrics.com/lyrics/martyrobbins/wouldyoutakemebackagain.html
A Taste Of Honey,Peter & Gordon,1967,https://www.azlyrics.com/lyrics/petergordon/atasteofhoney.html
Crystal Heaven,Golden Earring,1967,https://www.azlyrics.com/lyrics/goldenearring/crystalheaven.html
Rubber Band,"Bowie, David",1967,https://www.azlyrics.com/lyrics/davidbowie/rubberband.html
Don't Put Your Hurt In My Heart,"Twitty, Conway",1967,https://www.azlyrics.com/lyrics/conwaytwitty/dontputyourhurtinmyheart.html
Jackson,"Sinatra, Nancy",1967,https://www.azlyrics.com/lyrics/nancysinatra/jackson.html
I'm Going Home,Arlo Guthrie,1967,https://www.azlyrics.com/lyrics/arloguthrie/imgoinghome.html
Shout,Tommy James And The Shondells,1967,https://www.azlyrics.com/lyrics/tommyjamesandtheshondells/shout.html
"Black Butter, Future",Strawberry Alarm Clock,1968,https://www.azlyrics.com/lyrics/strawberryalarmclock/blackbutterfuture.html
That's When I See The Blues (In Your Pretty Brown Eyes),"Martin, Dean",1968,https://www.azlyrics.com/lyrics/deanmartin/thatswheniseethebluesinyourprettybrowneyes.html
