song title,artist/band name,year,lyrics url,song_lyrics
It's Only A Paper Moon,Frank Sinatra,1950,https://www.azlyrics.com/lyrics/franksinatra/itsonlyapapermoon.html,"It is only a paper moon
Sailing over a cardboard sea
But it wouldn't be make believe
If you believed in me

Yes, it's only a canvas sky
Hangin' over a muslin tree
But it wouldn't be make believe
If you believed in me

Without your love
It's a honky tonk parade
Without your love
It's a melody played in a penny arcade

It's a Barnum and Bailey world
Just as phony as it can be
But it wouldn't be make believe
If you believed in me

Without your love
It's a honky tonk parade
Without your love
It's a melody played in a penny arcade

It's a Barnum and Bailey world
Just as phony as it can be
But it wouldn't be make believe
If you believed in me
"
Be Honest With Me(1991 CD Reissue),"Martin, Dean",1955,https://www.azlyrics.com/lyrics/deanmartin/behonestwithme.html,"Be honest with me dear whatever you do
Remember you're mine dear so always be true
Where ever you wander on land or on sea
If you really love me be honest with me

My poor heart would break dear if you were untrue
Asleep or awake dear I dream about you
Oh you are my darling you're all that I see
If you really love me be honest with me

Some day I'll return dear kinda make you my own
And how I will yearn dear when I'm all alone
But I never forget dear your sweet memory
If you really love me be honest with me
"
I'm Yours,Eddy Arnold,1957,https://www.azlyrics.com/lyrics/eddyarnold/imyours.html,"Ask the sky above and ask the earth below
Why I'm so in love and why I love you so
Couldn't tell you though I tried dear just why did I'm yours
When you went away you left a glowing spark
Trying to be gay as whistling in the dark
I am only what you make me come take me I'm yours

How happy I would be to beg and borrow a sorrow with you
Even though I knew tomorrow you'd say we were through
If we'd drift apart then I'll be lost alone
Though you use my heart just for a stepping stone
How can I help dreaming of you I love you I'm yours
...
"
Blues In My Heart,"Reeves, Jim",1957,https://www.azlyrics.com/lyrics/jimreeves/bluesinmyheart.html,"(Wish I could lose these blues in my heart)

Blues in my heart, oh, how it aches
Nobody knows the sorrow it takes
I should have known right from the start
You'd leave me with these blues in my heart.

(Gone is the love I couldn't hold)
(Feel like a lamb that's strayed from the fold)
What can I do, what can I say?
Blues in my heart have got me this way.

Rain's falling down, down from the sky
Why even the sun's beginning to cry
Everything's wrong since we're apart
Wish I could lose these blues in my heart.
(In my heart.)..
"
I Didn't Know What Time It Was,Billie Holiday,1957,https://www.azlyrics.com/lyrics/billieholiday/ididntknowwhattimeitwas.html,"Once I was young 
Yesterday, perhaps 
Danced with Jim and Paul
And kissed some other chaps.
Once I was young,
But never was naive.
I thought I had a trick or two
Up my imaginary sleeve.
And now I know I was naive.

I didn't know what time it was
Then I met you.
Oh, what a lovely time it was,
How sublime it was too!
I didn't know what time it was
You hold my hand.
Warm like the month of May it was,
And I'll say it was grand.

Grand to be alive, to be young,
To be mad, to be yours alone!
Grand to see your face, feel your touch,
Hear your voice say I'm all your own.

I didn't know what time it was
Live was no prize.
I wanted love and here it was
Shining out of your eyes.
I'm wise,
And I know what time it is now.

Once I was old
Twenty years or so 
Rather well preserved:
The wrinkles didn't show.
Once I was old,
But not too old for fun.
I used to hunt for little girls
Up my immaginary gun.
But now I ain't for only one!

I didn't know what time it was
Then I met you.
Oh, what a lovely time it was,
How sublime it was too!
I didn't know what time it was
You hold my hand.
Warm like the month of May it was,
And I'll say it was grand.

Grand to be alive, to be young,
To be mad, to be yours alone!
Grand to see your face, feel your touch,
Hear your voice say I'm all your own.

I didn't know what time it was
Live was no prize.
I wanted love and here it was
Shining out of your eyes.
I'm wise,
And I know what time it is now.
"
Street Of Dreams,"Mathis, Johnny",1957,https://www.azlyrics.com/lyrics/johnnymathis/streetofdreams.html,"Love laughs at a king
Kings don't mean a thing
On the street of dreams
Dreams, broken in two
Can be made like new
On the street of dreams

Gold, silver and gold
All you can hold
Is in the moonbeams
Poor, no one is poor
Long as love is sure
On the street of dreams

Gold, silver and gold
All you can hold
Is in the moonbeams
Poor, no one is poor
Long as love is sure
On the street of dreams
"
Miss Ann,Little Richard,1957,https://www.azlyrics.com/lyrics/littlerichard/missann.html,"Oh, oh, oh, Miss Ann, you're doin' something no-one can,
Yeah, yeah, yeah, Miss Ann, you're doin' something no-one can,
Because believin' and deceivin', it's drivin' me to grievin' now.

I wanna hear, hear, hear Miss Ann, I wanna hear her call my name,
I wanna hear, hear, hear Miss Ann, I wanna hear her call my name,
Because she keep callin' loud, but she calls it so sweet and so plain.

Well, I told Miss Ann once, and I told Miss Ann twice,
Yes, I told Miss Ann once, and I told Miss Ann twice,
Boys, when I'm with Miss Ann, I'm livin' in paradise.

If she thinks I'm gonna let her be free, how wrong can Miss Ann be,
If she thinks I'm gonna let her be free, how wrong can Miss Ann be,
I'm in love with Miss Ann, and that's the way it's gonna be.
"
I Want A Little Girl,"Charles, Ray",1958,https://www.azlyrics.com/lyrics/raycharles/iwantalittlegirl.html,"She must be someone now who's all alone now
Say, I want a little girl, yeah, to fall in love with me, oh yeah

You know I want a little girl, she may not look
Just like a picture in a story book
But if she can cook chicken, yeah, she'll suit me to a T, now

Oh, she don't have to wave her hair
Or wear fancy clothes and I wouldn't even care
If she didn't wear nylon hose, oh

'Cause I want a little girl to love a lot
I say I'd give her everyting I got, now
Because I want a little firl, now, to fall in love with me, yeah
"
Love Me,Buddy Holly,1958,https://www.azlyrics.com/lyrics/buddyholly/loveme.html,"Well, love me, love me, love me
Oh baby love me
Well, if you love me honey
Will you let me know
If you really love me
Then never let me go
Oh, love me, love me, love me
Well, I'm hoping you do
Oh baby, love me, love me, love me
The way that I love you

Well, love me, never leave me
Or you'll make me cry
If you really love me
Then you'll keep my eyes dry
Love me, love me, love me
Well, I'm hoping you do
Oh baby, love me, love me, love me
The way that I love you
(Oh, let's go now man, go)

Well, love me, love me
O-oh baby love me
Oh baby love me
Baby love me true

Well, if you love me honey
All the night and day
Then you love me, love me
All my life I pray
Love me, love me, love me
Well, I'm hoping you do
Oh baby, love me, love me, love me
The way that I love you

Well, love me, never leave me
Or you'll make me cry
If you really love me
Then you'll keep my eyes dry
Love me, love me, love me
Well, I'm hoping you do
Oh baby, love me, love me, love me
The way that I love you

Well, love me, love me
O-oh baby love me
Oh baby love me
Baby love me true
"
The Magician(2005 CD Reissue),Dean Martin,1958,https://www.azlyrics.com/lyrics/deanmartin/themagician.html,"I met a magician
He did magical things
He said he could turn any heart
That was sad in to one that sings

I told the magician
What had happened to me
My sweetheart and I had a quarrel
And now I was blue as could be

He asked me to close my eyes
Waved his wand in the air
I looked and to my surprise
My sweetheart was there

We kissed in the moonlight
Stars were twinkling above
I suddenly knew this was no magic trick
Just the magic of love

(He asked me to close my eyes)
(Waved his wand in the air)
(I looked and to my surprise)
(My sweetheart was there)

We kissed in the moonlight
Stars were twinkling above
I suddenly knew Thais was no magic trick
Just the magic of love
Just the magic of love
"
